2026-05-25 11:00:25 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#136)
2026-05-25 11:00:26 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4429)
2026-05-25 11:00:26 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:26 | DEBUG    | routers.websocket:210 | Measurement saved: level=0.0% volume=0.00L moisture=0.0% (station=station_001)
2026-05-25 11:00:26 | DEBUG    | routers.commands:106 | Events query: station=163bd631-aedd-42a7-8f2f-f7dc503b7977 limit=50 filter=none
2026-05-25 11:00:26 | DEBUG    | routers.commands:118 | Returning 50 event(s) for station=163bd631-aedd-42a7-8f2f-f7dc503b7977
2026-05-25 11:00:26 | DEBUG    | main:99 | HTTP GET /api/stations/163bd631-aedd-42a7-8f2f-f7dc503b7977/events → 200 (7.7 ms)
2026-05-25 11:00:26 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#137)
2026-05-25 11:00:27 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4430)
2026-05-25 11:00:27 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:27 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#138)
2026-05-25 11:00:28 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4431)
2026-05-25 11:00:28 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:28 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#139)
2026-05-25 11:00:28 | DEBUG    | routers.commands:106 | Events query: station=163bd631-aedd-42a7-8f2f-f7dc503b7977 limit=50 filter=none
2026-05-25 11:00:28 | DEBUG    | routers.commands:118 | Returning 50 event(s) for station=163bd631-aedd-42a7-8f2f-f7dc503b7977
2026-05-25 11:00:28 | DEBUG    | main:99 | HTTP GET /api/stations/163bd631-aedd-42a7-8f2f-f7dc503b7977/events → 200 (6.8 ms)
2026-05-25 11:00:29 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4432)
2026-05-25 11:00:29 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:29 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#140)
2026-05-25 11:00:30 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4433)
2026-05-25 11:00:30 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:30 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#141)
2026-05-25 11:00:31 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4434)
2026-05-25 11:00:31 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:31 | DEBUG    | routers.websocket:210 | Measurement saved: level=0.0% volume=0.00L moisture=0.0% (station=station_001)
2026-05-25 11:00:31 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#142)
2026-05-25 11:00:32 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4435)
2026-05-25 11:00:32 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:32 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#143)
2026-05-25 11:00:33 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4436)
2026-05-25 11:00:33 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:33 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#144)
2026-05-25 11:00:34 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4437)
